league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,time,match_report
,2022,Croatia,2022-11-16 Saudi Arabia-Saudi Arabia,2022-11-16,Friendlies (M),Wed,Neutral,W,1,0,Saudi Arabia,,0,,,1,0,0,0,0,15:00:00,/en/matches/8e701a35/Saudi-Arabia-Croatia-November-16-2022-Friendlies-M
,2022,Croatia,2022-11-23 Morocco-Morocco,2022-11-23,Group stage,Wed,Neutral,D,0,0,Morocco,2,0,2,100.0,1,0,0,0,0,13:00:00,/en/matches/197b3688/Morocco-Croatia-November-23-2022-World-Cup
,2022,Croatia,2022-11-27 Canada-Canada,2022-11-27,Group stage,Sun,Neutral,W,4,1,Canada,2,1,1,50.0,0,0,0,0,0,19:00:00,/en/matches/6bac97fe/Croatia-Canada-November-27-2022-World-Cup
,2022,Croatia,2022-12-01 Belgium-Belgium,2022-12-01,Group stage,Thu,Neutral,D,0,0,Belgium,3,0,3,100.0,1,0,0,0,0,18:00:00,/en/matches/ea7139a8/Croatia-Belgium-December-1-2022-World-Cup
,2022,Croatia,2022-12-05 Japan-Japan,2022-12-05,Round of 16,Mon,Neutral,D,1 (3),1 (1),Japan,4,1,3,75.0,0,0,0,0,0,18:00:00,/en/matches/4e74d7ed/Japan-Croatia-December-5-2022-World-Cup
,2022,Croatia,2022-12-09 Brazil-Brazil,2022-12-09,Quarter-finals,Fri,Neutral,D,1 (4),1 (2),Brazil,12,1,11,91.7,0,0,0,0,0,18:00:00,/en/matches/bb30147d/Croatia-Brazil-December-9-2022-World-Cup
,2022,Croatia,2022-12-13 Argentina-Argentina,2022-12-13,Semi-finals,Tue,Neutral,L,0,3,Argentina,7,3,4,57.1,0,1,1,0,0,22:00:00,/en/matches/0b527037/Argentina-Croatia-December-13-2022-World-Cup
,2022,Croatia,2022-12-17 Morocco-Morocco,2022-12-17,Third-place match,Sat,Neutral,W,2,1,Morocco,2,1,1,50.0,0,0,0,0,0,18:00:00,/en/matches/9d73d381/Croatia-Morocco-December-17-2022-World-Cup
,2022,Denmark,2021-03-25 Israel-Denmark,2021-03-25,First round,Thu,Away,W,2,0,Israel,2,0,2,100.0,1,0,0,0,0,19:00:00,/en/matches/baedbd16/Israel-Denmark-March-25-2021-WCQ----UEFA-M
,2022,Denmark,2021-03-28 Denmark-Moldova,2021-03-28,First round,Sun,Home,W,8,0,Moldova,2,0,2,100.0,1,0,0,0,0,18:00:00,/en/matches/11d3c63d/Denmark-Moldova-March-28-2021-WCQ----UEFA-M
,2022,Denmark,2021-03-31 Austria-Denmark,2021-03-31,First round,Wed,Away,W,4,0,Austria,0,0,0,,1,0,0,0,0,20:45:00,/en/matches/7b1b2a8c/Austria-Denmark-March-31-2021-WCQ----UEFA-M
,2022,Denmark,2021-09-01 Denmark-Scotland,2021-09-01,First round,Wed,Home,W,2,0,Scotland,2,0,2,100.0,1,0,0,0,0,20:45:00,/en/matches/42e7a972/Denmark-Scotland-September-1-2021-WCQ----UEFA-M
,2022,Denmark,2021-09-04 Faroe Islands-Denmark,2021-09-04,First round,Sat,Away,W,1,0,Faroe Islands,3,0,3,100.0,1,0,0,0,0,19:45:00,/en/matches/96adeef3/Faroe-Islands-Denmark-September-4-2021-WCQ----UEFA-M
,2022,Denmark,2021-09-07 Denmark-Israel,2021-09-07,First round,Tue,Home,W,5,0,Israel,1,0,0,100.0,1,0,0,0,0,20:45:00,/en/matches/f45699f9/Denmark-Israel-September-7-2021-WCQ----UEFA-M
,2022,Denmark,2021-10-09 Moldova-Denmark,2021-10-09,First round,Sat,Away,W,4,0,Moldova,0,0,0,,1,0,0,0,0,21:45:00,/en/matches/e738b2f6/Moldova-Denmark-October-9-2021-WCQ----UEFA-M
,2022,Denmark,2021-10-12 Denmark-Austria,2021-10-12,First round,Tue,Home,W,1,0,Austria,0,0,0,,1,0,0,0,0,20:45:00,/en/matches/a2012f02/Denmark-Austria-October-12-2021-WCQ----UEFA-M
,2022,Denmark,2021-11-12 Denmark-Faroe Islands,2021-11-12,First round,Fri,Home,W,3,1,Faroe Islands,2,1,1,50.0,0,0,0,0,0,20:45:00,/en/matches/f6b29b73/Denmark-Faroe-Islands-November-12-2021-WCQ----UEFA-M
